"species"	"year"	"max_speed"
"Bombycilla_cedrorum"	2008	32.1240324024875
"Bombycilla_cedrorum"	2009	24.2547002193015
"Bombycilla_cedrorum"	2010	50.1301855390114
"Bombycilla_cedrorum"	2011	38.878211359272
"Bombycilla_cedrorum"	2012	37.0146640167835
"Bombycilla_cedrorum"	2013	43.6303036668948
"Bombycilla_cedrorum"	2014	35.9178076809496
"Bombycilla_cedrorum"	2015	47.9799307372386
"Bombycilla_cedrorum"	2016	45.2069506512492
"Bombycilla_cedrorum"	2017	49.894951993389
"Bombycilla_cedrorum"	2018	47.9521483719018
"Bombycilla_cedrorum"	2019	62.5481999135686
"Bombycilla_cedrorum"	2020	45.7877025426864
"Bombycilla_cedrorum"	2021	78.0355788100813
"Bombycilla_cedrorum"	2022	36.0687183107126
"Haemorhous_purpureus"	2008	31.5364431794796
"Haemorhous_purpureus"	2009	29.1592054385806
"Haemorhous_purpureus"	2010	16.496746001066
"Haemorhous_purpureus"	2011	22.9190881337105
"Haemorhous_purpureus"	2012	19.7093326305802
"Haemorhous_purpureus"	2013	34.2285492111238
"Haemorhous_purpureus"	2014	19.9444188360499
"Haemorhous_purpureus"	2015	28.4408648619076
"Haemorhous_purpureus"	2016	21.5675361391017
"Haemorhous_purpureus"	2017	23.9871371356117
"Haemorhous_purpureus"	2018	19.7035251154678
"Haemorhous_purpureus"	2019	27.3205171371264
"Haemorhous_purpureus"	2020	34.0896123053929
"Haemorhous_purpureus"	2021	35.4714603832118
"Haemorhous_purpureus"	2022	17.0445720723861
"Hylocichla_mustelina"	2008	114.898253542637
"Hylocichla_mustelina"	2009	72.7773874804715
"Hylocichla_mustelina"	2010	70.6965079807606
"Hylocichla_mustelina"	2011	78.5492934942761
"Hylocichla_mustelina"	2012	75.8444989135837
"Hylocichla_mustelina"	2013	75.1835169046915
"Hylocichla_mustelina"	2014	74.6642362392013
"Hylocichla_mustelina"	2015	70.7346486093876
"Hylocichla_mustelina"	2016	77.7101093553593
"Hylocichla_mustelina"	2017	83.7240195563508
"Hylocichla_mustelina"	2018	84.8976351875988
"Hylocichla_mustelina"	2019	74.5919217822882
"Hylocichla_mustelina"	2020	79.3759543575996
"Hylocichla_mustelina"	2021	74.0138578791871
"Hylocichla_mustelina"	2022	64.1268363643493
"Junco_hyemalis"	2008	29.2077426595415
"Junco_hyemalis"	2009	44.406810828968
"Junco_hyemalis"	2010	37.840417865709
"Junco_hyemalis"	2011	41.6616064036746
"Junco_hyemalis"	2012	42.0848081854152
"Junco_hyemalis"	2013	35.4572285767544
"Junco_hyemalis"	2014	67.5913228543523
"Junco_hyemalis"	2015	54.2003482442433
"Junco_hyemalis"	2016	33.9178710665339
"Junco_hyemalis"	2017	29.3677488749536
"Junco_hyemalis"	2018	49.0950453632416
"Junco_hyemalis"	2019	36.7452135965549
"Junco_hyemalis"	2020	36.552762541938
"Junco_hyemalis"	2021	36.3603578475061
"Junco_hyemalis"	2022	50.2221874504163
"Setophaga_coronata"	2008	36.5235343363426
"Setophaga_coronata"	2009	49.0556195533007
"Setophaga_coronata"	2010	50.4953378385831
"Setophaga_coronata"	2011	44.0494151725526
"Setophaga_coronata"	2012	46.5391006591197
"Setophaga_coronata"	2013	45.2907293101818
"Setophaga_coronata"	2014	56.0011200001007
"Setophaga_coronata"	2015	58.1922158046616
"Setophaga_coronata"	2016	53.2803858416674
"Setophaga_coronata"	2017	48.9150367785509
"Setophaga_coronata"	2018	66.6084530820779
"Setophaga_coronata"	2019	57.6492844497725
"Setophaga_coronata"	2020	65.9157891504904
"Setophaga_coronata"	2021	61.8025486416651
"Setophaga_coronata"	2022	63.8120780173473
"Sialia_sialis"	2008	3.56071364388945
"Sialia_sialis"	2009	4.05329022821885
"Sialia_sialis"	2010	4.57415303347796
"Sialia_sialis"	2011	5.09873827566955
"Sialia_sialis"	2012	7.14228396291964
"Sialia_sialis"	2013	3.38434531696043
"Sialia_sialis"	2014	5.96379405823651
"Sialia_sialis"	2015	5.87124323120045
"Sialia_sialis"	2016	3.44045052785418
"Sialia_sialis"	2017	4.17551717782984
"Sialia_sialis"	2018	6.0900822348736
"Sialia_sialis"	2019	5.93902923880536
"Sialia_sialis"	2020	4.72812169238197
"Sialia_sialis"	2021	6.07168232520631
"Sialia_sialis"	2022	3.00720268036893
"Turdus_migratorius"	2008	11.6898458269988
"Turdus_migratorius"	2009	19.0565446889698
"Turdus_migratorius"	2010	16.0086041457222
"Turdus_migratorius"	2011	16.2380612172119
"Turdus_migratorius"	2012	17.8001573613223
"Turdus_migratorius"	2013	17.7138100074089
"Turdus_migratorius"	2014	13.7585758943488
"Turdus_migratorius"	2015	21.0011866259187
"Turdus_migratorius"	2016	16.9655221136827
"Turdus_migratorius"	2017	21.4284000296973
"Turdus_migratorius"	2018	15.3026655859706
"Turdus_migratorius"	2019	19.2474188482214
"Turdus_migratorius"	2020	20.7888899282225
"Turdus_migratorius"	2021	24.1594524093114
"Turdus_migratorius"	2022	21.3408146442223
